sk_tiempo,Fecha,Mes,Anio,Trimestre,DiaSemana,Temporada
517,2024-03-10,3,2024,1,1,2023/2024
518,2024-03-11,3,2024,1,2,2023/2024
519,2024-03-15,3,2024,1,6,2023/2024
520,2024-03-16,3,2024,1,7,2023/2024
521,2024-03-17,3,2024,1,1,2023/2024
522,2024-03-29,3,2024,1,6,2023/2024
523,2024-03-30,3,2024,1,7,2023/2024
524,2024-03-31,3,2024,1,1,2023/2024
525,2024-04-01,4,2024,2,2,2023/2024
526,2024-04-04,4,2024,2,5,2023/2024
527,2024-04-12,4,2024,2,6,2023/2024
528,2024-04-13,4,2024,2,7,2023/2024
529,2024-04-14,4,2024,2,1,2023/2024
530,2024-04-15,4,2024,2,2,2023/2024
531,2024-04-19,4,2024,2,6,2023/2024
532,2024-04-20,4,2024,2,7,2023/2024
533,2024-04-21,4,2024,2,1,2023/2024
534,2024-04-22,4,2024,2,2,2023/2024
535,2024-04-26,4,2024,2,6,2023/2024
536,2024-04-27,4,2024,2,7,2023/2024
537,2024-04-28,4,2024,2,1,2023/2024
538,2024-04-29,4,2024,2,2,2023/2024
539,2024-05-03,5,2024,2,6,2023/2024
540,2024-05-04,5,2024,2,7,2023/2024
541,2024-05-05,5,2024,2,1,2023/2024
542,2024-05-10,5,2024,2,6,2023/2024
543,2024-05-11,5,2024,2,7,2023/2024
544,2024-05-12,5,2024,2,1,2023/2024
545,2024-05-13,5,2024,2,2,2023/2024
546,2024-05-14,5,2024,2,3,2023/2024
547,2024-05-15,5,2024,2,4,2023/2024
548,2024-05-16,5,2024,2,5,2023/2024
549,2024-05-18,5,2024,2,7,2023/2024
550,2024-05-19,5,2024,2,1,2023/2024
551,2024-05-24,5,2024,2,6,2023/2024
552,2024-05-25,5,2024,2,7,2023/2024
553,2024-05-26,5,2024,2,1,2023/2024
554,2024-08-15,8,2024,3,5,2024/2025
555,2024-08-16,8,2024,3,6,2024/2025
556,2024-08-17,8,2024,3,7,2024/2025
557,2024-08-18,8,2024,3,1,2024/2025
558,2024-08-19,8,2024,3,2,2024/2025
559,2024-08-23,8,2024,3,6,2024/2025
560,2024-08-24,8,2024,3,7,2024/2025
561,2024-08-25,8,2024,3,1,2024/2025
562,2024-08-26,8,2024,3,2,2024/2025
563,2024-08-27,8,2024,3,3,2024/2025
564,2024-08-28,8,2024,3,4,2024/2025
565,2024-08-29,8,2024,3,5,2024/2025
566,2024-08-31,8,2024,3,7,2024/2025
567,2024-09-01,9,2024,3,1,2024/2025
568,2024-09-13,9,2024,3,6,2024/2025
569,2024-09-14,9,2024,3,7,2024/2025
570,2024-09-15,9,2024,3,1,2024/2025
